2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:38 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:39 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:46:40 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:33 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:33 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:33 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:34 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

2015-11-12 09:51:34 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:34 (CST)      A session had already been started - ignoring session_start() C:\Apache24\htdocs\Proyecto7\libs\Session.php 5

2015-11-12 09:51:34 (CST)      Undefined index: global C:\Apache24\htdocs\Proyecto7\views\Inventario\crear.php 18

